DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area,,,,,
S01008417,Balerno and Bonnington Village - 01,City of Edinburgh,708,397,5537,4,8,16,80,5%,32,5218.5,3%,13,5564,35,10,0,26,14%,7%,56,6653,92%,6.14,28,0%,30%,6691,3.15,7.47,3.6,5.26,4.14,3.52,22.37,16.21,16.55,15%,853,6,86,5392,17,8,2%,1%,6350,20191.72142,10299931.77,,,,,
S01008418,Balerno and Bonnington Village - 02,City of Edinburgh,691,378,6119,5,9,18,88,2%,17,6236.5,2%,8,6386.5,30,57,50,38,12%,4%,72,6440,94%,6.3,24,0%,13%,6733,3.58,7.66,4.04,3.56,4.77,3.96,17.63,12.75,13.1,7%,988,7,103,5063,7,10,1%,1%,6650,25944.86179,23570497.47,,,,,
S01008419,Balerno and Bonnington Village - 03,City of Edinburgh,541,338,5200,4,8,15,75,5%,29,4861,6%,19,4315,60,57,0,100,11%,0%,72,5417,0%,6.6,34,0%,25%,6907,2.44,6.39,2.89,3.02,3.16,2.81,18.67,13.4,13.75,0%,2204,10,187,3594,30,0,6%,0%,5372.5,5738.935106,1366456.875,,,,,
S01008420,Balerno and Bonnington Village - 04,City of Edinburgh,466,274,6431,5,10,19,93,2%,11,6298,3%,8,5980,35,8,37,80,15%,0%,97,5913,0%,5.62,30,0%,13%,6262,2.32,6.6,3.01,2.16,3.37,2.93,16.61,10.84,11.19,0%,2702,5,109,4957,2,0,0%,0%,6957,1890.096713,105196.6891,,,,,-0.332476731
S01008421,Balerno and Bonnington Village - 05,City of Edinburgh,884,537,3441,3,5,10,50,10%,91,3330.5,10%,51,2861,105,99,65,94,21%,7%,103,2866,88%,5.17,88,2%,11%,3907,1.31,6.02,2.04,2.59,2.92,1.96,16.16,6.97,7.31,0%,4721,23,264,2575,61,6,7%,1%,4598,2645.609037,146544.0702,,,,,
S01008422,Balerno and Bonnington Village - 06,City of Edinburgh,617,316,6918,5,10,20,100,1%,7,6833,2%,5,6647.5,35,24,0,58,14%,8%,71,6334,0%,6.38,11,0%,19%,6938,1.81,6.12,2.26,4.78,3,2.18,14.34,7.59,7.94,0%,3823,6,99,5148,17,4,3%,1%,6377,3329.511439,231579.867,,,,,
S01008423,Balerno and Bonnington Village - 07,City of Edinburgh,1088,685,6328,5,10,19,91,1%,12,6843,2%,13,6575,35,33,31,53,11%,0%,66,6437,94%,5.78,31,1%,24%,6514,3.76,5.51,3.57,5.68,4.06,4.21,16.24,13.14,16.69,13%,952,7,65,5862,27,3,3%,0%,6558,29598.55502,11999499.03,,,,,
S01008424,Balerno and Bonnington Village - 08,City of Edinburgh,836,417,6221,5,9,18,90,2%,20,6275.5,3%,14,5600,30,13,0,55,14%,0%,55,6711,93%,5.48,26,1%,20%,6242,3.59,3.76,3.72,5.17,3.64,3.98,12.98,10.67,13.66,1%,1629,0,0,6653,9,3,1%,0%,6859,3516.711994,325527.2455,,,,,
S01008425,Currie West - 01,City of Edinburgh,3847,3423,6483,5,10,19,93,1%,20,6961,1%,20,6951,15,58,4,63,7%,0%,43,6955,92%,5.76,39,1%,6%,5606,4.61,3.41,4.48,3.34,4.68,5.87,9.39,13.44,20.62,19%,1128,19,50,6161,31,8,3%,1%,6126,18368.1086,7587827.66,,,,,
S01008426,Currie West - 02,City of Edinburgh,599,333,4087,3,6,12,59,8%,45,4081,8%,25,3486,95,85,56,102,21%,7%,99,3077,87%,5.25,105,5%,11%,3332,3.83,1.57,2.5,2.32,2.32,6.04,5.71,7.37,16.22,0%,4990,7,118,4782,43,6,8%,1%,4290,2653.859844,187809.7975,,,,,
S01008427,Currie West - 03,City of Edinburgh,1084,717,6386,5,10,19,92,1%,14,6785,1%,8,6871,35,53,0,51,12%,3%,60,6521,93%,6.18,36,1%,12%,6378,4.88,3.6,4.1,4,4.39,7.03,15.81,15.51,24.57,0%,913,3,28,6599,48,4,4%,0%,5835,2759.623827,185719.4489,,,,,
